url,strategy,finalUrl,fetchedAt,performance,accessibility,bestPractices,seo,fcpMs,lcpMs,speedIndexMs,totalBlockingTimeMs,cls,interactiveMs,fcp,lcp,speedIndex,totalBlockingTime,clsDisplay,status,error
https://b2bindustrial.in/blog/energy-audit-cost-india,mobile,https://b2bindustrial.in/blog/energy-audit-cost-india,2026-07-14T06:29:38.378Z,100,96,100,100,901,1201,2134,0,0,1201,0.9 s,1.2 s,2.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/energy-audit-cost-india,desktop,https://b2bindustrial.in/blog/energy-audit-cost-india,2026-07-14T06:29:51.569Z,100,95,100,100,258,258,814,0,0,258,0.3 s,0.3 s,0.8 s,0 ms,0,success,
https://b2bindustrial.in/blog/environmental-compliances-guide,mobile,https://b2bindustrial.in/blog/environmental-compliances-guide,2026-07-14T06:30:05.178Z,100,94,100,100,901,1212,2325,0,0,1212,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/blog/environmental-compliances-guide,desktop,https://b2bindustrial.in/blog/environmental-compliances-guide,2026-07-14T06:30:20.602Z,100,93,100,100,241,256,836,0,0.002362586686856879,256,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/esg-compliance-industrial-sites,mobile,https://b2bindustrial.in/blog/esg-compliance-industrial-sites,2026-07-14T06:30:36.427Z,100,96,100,100,902,902,1988,0,0,902,0.9 s,0.9 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/esg-compliance-industrial-sites,desktop,https://b2bindustrial.in/blog/esg-compliance-industrial-sites,2026-07-14T06:30:50.317Z,100,95,100,100,248,309,905,0,0.002362586686856879,309,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,mobile,https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,2026-07-14T06:31:17.623Z,100,94,100,100,901,901,1884,0,0,901,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,desktop,https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,2026-07-14T06:31:31.745Z,100,93,100,100,266,306,1106,0,0,306,0.3 s,0.3 s,1.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/hvac-maintenance-best-practices,mobile,https://b2bindustrial.in/blog/hvac-maintenance-best-practices,2026-07-14T06:31:47.053Z,100,94,100,100,918,1218,1884,0,0,1218,0.9 s,1.2 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/hvac-maintenance-best-practices,desktop,https://b2bindustrial.in/blog/hvac-maintenance-best-practices,2026-07-14T06:32:00.097Z,100,93,100,100,241,292,909,0,0.002362586686856879,292,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/,mobile,https://b2bindustrial.in/blog/,2026-07-14T06:32:15.158Z,100,100,100,100,902,902,2202,0,0,902,0.9 s,0.9 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/blog/,desktop,https://b2bindustrial.in/blog/,2026-07-14T06:32:31.346Z,100,100,100,100,241,271,810,0,0.002362586686856879,272,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/industrial-water-risk-management,mobile,https://b2bindustrial.in/blog/industrial-water-risk-management,2026-07-14T06:32:46.502Z,100,96,100,100,901,909,1943,0,0,909,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/industrial-water-risk-management,desktop,https://b2bindustrial.in/blog/industrial-water-risk-management,2026-07-14T06:33:00.798Z,98,95,100,100,241,343,1633,0,0.002362586686856879,343,0.2 s,0.3 s,1.6 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/industry-5-human-centric-safety,mobile,https://b2bindustrial.in/blog/industry-5-human-centric-safety,2026-07-14T06:33:16.410Z,100,96,100,100,902,913,2055,0,0,913,0.9 s,0.9 s,2.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/industry-5-human-centric-safety,desktop,https://b2bindustrial.in/blog/industry-5-human-centric-safety,2026-07-14T06:33:31.641Z,100,95,100,100,242,242,856,0,0.002362586686856879,242,0.2 s,0.2 s,0.9 s,0 ms,0.002,success,
